Track,Player,Placement,GP Number
Dandelion Depths,Tom,4,5
Dandelion Depths,Callum,1,5
Dandelion Depths,Connor,3,5
Dandelion Depths,Matthew,5,5
Great ? Block Ruins,Tom,4,5
Great ? Block Ruins,Callum,3,5
Great ? Block Ruins,Connor,1,5
Great ? Block Ruins,Matthew,11,5
Sky-High Sundae,Tom,1,5
Sky-High Sundae,Callum,2,5
Sky-High Sundae,Connor,3,5
Sky-High Sundae,Matthew,5,5
Mario Circuit,Tom,3,5
Mario Circuit,Callum,1,5
Mario Circuit,Connor,4,5
Mario Circuit,Matthew,7,5
Faraway Oasis,Tom,5,5
Faraway Oasis,Callum,3,5
Faraway Oasis,Connor,1,5
Faraway Oasis,Matthew,6,5
Starview Peak,Tom,2,5
Starview Peak,Callum,3,5
Starview Peak,Connor,1,5
Starview Peak,Matthew,5,5
Peach Beach,Tom,4,5
Peach Beach,Callum,1,5
Peach Beach,Connor,3,5
Peach Beach,Matthew,2,5
Moo Moo Meadows,Tom,2,5
Moo Moo Meadows,Callum,3,5
Moo Moo Meadows,Connor,1,5
Moo Moo Meadows,Matthew,5,5
Wario's Galleon,Tom,6,5
Wario's Galleon,Callum,3,5
Wario's Galleon,Connor,2,5
Wario's Galleon,Matthew,4,5
Dry Bones Burnout,Tom,7,5
Dry Bones Burnout,Callum,1,5
Dry Bones Burnout,Connor,2,5
Dry Bones Burnout,Matthew,4,5
DK Spaceport,Tom,4,5
DK Spaceport,Callum,2,5
DK Spaceport,Connor,1,5
DK Spaceport,Matthew,3,5
Shy Guy Bazaar,Tom,4,5
Shy Guy Bazaar,Callum,5,5
Shy Guy Bazaar,Connor,1,5
Shy Guy Bazaar,Matthew,6,5
Koopa Troopa Beach,Tom,1,5
Koopa Troopa Beach,Callum,4,5
Koopa Troopa Beach,Connor,3,5
Koopa Troopa Beach,Matthew,6,5
Desert Hills,Tom,2,5
Desert Hills,Callum,3,5
Desert Hills,Connor,1,5
Desert Hills,Matthew,5,5
Toad's Factory,Tom,3,5
Toad's Factory,Callum,2,5
Toad's Factory,Connor,1,5
Toad's Factory,Matthew,5,5
DK Spaceport,Tom,1,6
DK Spaceport,Callum,2,6
DK Spaceport,Connor,3,6
DK Spaceport,Matthew,6,6
Faraway Oasis,Tom,2,6
Faraway Oasis,Callum,5,6
Faraway Oasis,Connor,1,6
Faraway Oasis,Matthew,3,6
Airship Fortress,Tom,13,6
Airship Fortress,Callum,1,6
Airship Fortress,Connor,11,6
Airship Fortress,Matthew,4,6
Dandelion Depths,Tom,1,6
Dandelion Depths,Callum,5,6
Dandelion Depths,Connor,3,6
Dandelion Depths,Matthew,7,6
Sky-High Sundae,Tom,1,6
Sky-High Sundae,Callum,2,6
Sky-High Sundae,Connor,4,6
Sky-High Sundae,Matthew,3,6
