id,name
acorn-heights,Acorn Heights
airship-fortress,Airship Fortress
boo-cinema,Boo Cinema
bowsers-castle,Bowser's Castle
cheep-cheep-falls,Cheep Cheep Falls
choco-mountain,Choco Mountain
crown-city,Crown City
dandelion-depths,Dandelion Depths
desert-hills,Desert Hills
dino-dino-jungle,Dino Dino Jungle
dk-pass,DK Pass
dk-spaceport,DK Spaceport
dry-bones-burnout,Dry Bones Burnout
faraway-oasis,Faraway Oasis
great-block-ruins,Great ? Block Ruins
koopa-troopa-beach,Koopa Troopa Beach
mario-bros-circuit,Mario Bros. Circuit
mario-circuit,Mario Circuit
moo-moo-meadows,Moo Moo Meadows
peach-beach,Peach Beach
peach-stadium,Peach Stadium
rainbow-road,Rainbow Road
salty-salty-speedway,Salty Salty Speedway
shy-guy-bazaar,Shy Guy Bazaar
sky-high-sundae,Sky-High Sundae
starview-peak,Starview Peak
toads-factory,Toad's Factory
wario-stadium,Wario Stadium
warios-galleon,Wario's Galleon
whistlestop-summit,Whistlestop Summit
